doi,relevant_yn,No
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030905524&partnerID=40&md5=f070caa60ef384a3ab7015aa168cd0a3,,68
10.1897/1551-5028(1997)016<1687:EOGPFA>2.3.CO;2,,69
,,70
,,71
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031418150&partnerID=40&md5=055f6c198d071360081813198d3c1ed6,,72
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032257935&partnerID=40&md5=cce378ca7637da4b4d9848c8cc7d877e,,73
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032017883&partnerID=40&md5=13231dbb3ab1d857d150bd43b5da7be4,,74
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031850914&doi=10.2307%2f4089408&partnerID=40&md5=3d8b08e92b7bef2b4f86e6f85237d646,,75
10.2307/3802012,,76
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032052630&doi=10.1006%2fanbe.1997.0670&partnerID=40&md5=a99833792d1825a06bf4cad41055e127,,77
10.1111/j.1442-9993.1998.tb00750.x,,78
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031713774&partnerID=40&md5=b550708bf5bc6124580df16058653846,,79
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031955109&doi=10.2307%2f4089193&partnerID=40&md5=4534d58ac1f49e005f96d6b448453bdb,,80
10.2307/3802011,,81
10.1897/1551-5028(1998)017<0526:EOAROA>2.3.CO;2,,82
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031954648&partnerID=40&md5=9c81ab51c7e97a60e25d83ec248309be,,83
10.3354/meps165161,,84
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033423924&partnerID=40&md5=ac0ba8edf9966a22c215dc4ad33eca10,,85
10.2307/3802497,,86
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033414432&partnerID=40&md5=004798f5453af268b71a1c3fe4ba2c76,,87
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033452261&doi=10.1080%2f00063659909477231&partnerID=40&md5=cce33bc6ef351954902d74fde155a63b,,88
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033459821&partnerID=40&md5=70becf47d3315295d78e71e867c05057,,89
10.2307/3802524,,90
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033243876&partnerID=40&md5=17f9fca878d30a582979e4d31725343a,,91
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032746260&doi=10.2307%2f4089687&partnerID=40&md5=f79d516e9749add00d92f06ecf7c3b2c,,92
10.2307/1370002,,93
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033381065&doi=10.1071%2fMU99031&partnerID=40&md5=2a69298427f651ab7c4d190e392e6ff7,,94
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032856593&partnerID=40&md5=26acb7677491521ad53de565041496e7,,95
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032738575&doi=10.1674%2f0003-0031%281999%29142%5b0291%3aSOBARP%5d2.0.CO%3b2&partnerID=40&md5=8e3d04e8f13e73c4985150ec77f09e69,,96
10.2307/3802854,,97
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033382869&doi=10.1017%2fS095927090000352X&partnerID=40&md5=8500a4790cec1213be70ec10c1c5beae,,98
,,99
,,100
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034257724&doi=10.1648%2f0273-8570-71.4.702&partnerID=40&md5=4af90822e2d948ec88a31386eae0e773,,101
10.2307/3803252,,102
10.2307/3802995,,103
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034349744&partnerID=40&md5=08104f7483d43547f75c2436bb4071cd,,104
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034007982&doi=10.2307%2f4089711&partnerID=40&md5=dc6f44e1abbb17184e411db292930374,,105
10.2307/3803201,,106
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034347829&doi=10.1648%2f0273-8570-71.3.385&partnerID=40&md5=c7bca980e803b9adad5ce8fc0418071a,,107
10.1007/s004420000445,,108
10.7589/0090-3558-36.2.324,,109
10.1007/PL00008853,,110
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033915238&partnerID=40&md5=bcd7e43764a7d8ebc089de2a37e7f34f,,111
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034349727&doi=10.1648%2f0273-8570-71.1.117&partnerID=40&md5=aa0699c01fca5db8e1efa2ad408e7d92,,112
,,113
10.2307/3803257,,114
10.2307/1370415,,115
,,116
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033838232&doi=10.1676%2f0043-5643%282000%29112%5b0347%3aMATOWH%5d2.0.CO%3b2&partnerID=40&md5=4554bf2e4d29503e987c100e477c449c,,117
10.2307/3802993,,118
10.2307/3803003,,119
10.2307/3802754,,120
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034347834&doi=10.1648%2f0273-8570-71.3.501&partnerID=40&md5=2d89370ba5a74bc7e5f3956ae63e21ba,,121
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033977944&doi=10.1642%2f0004-8038%282000%29117%5b0184%3aEOPDOS%5d2.0.CO%3b2&partnerID=40&md5=bc42e60a15a5e2ba3ab0406e9c982406,,122
10.2307/3802758,,123
,,124
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035635252&doi=10.1648%2f0273-8570-72.2.236&partnerID=40&md5=dba6d0cf700e78e84676af0376acf694,,125
10.1650/0010-5422(2001)103[0481:EOIAAO]2.0.CO;2,,126
10.1890/1051-0761(2001)011[1533:BHCBAM]2.0.CO;2,,127
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035654164&doi=10.1139%2fz01-138&partnerID=40&md5=873530afbc3c53cde5d3f172690d59e6,,128
10.1650/0010-5422(2001)103[0343:MPOAMO]2.0.CO;2,,129
10.1002/etc.5620201234,,130
,,131
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035734686&doi=10.1676%2f0043-5643%282001%29113%5b0308%3aHRAHUO%5d2.0.CO%3b2&partnerID=40&md5=7bae7a887a0eca87e783f23f3ab5ef62,,132
10.1650/0010-5422(2001)103[0715:FMRTAW]2.0.CO;2,,133
,,134
10.2307/3802903,,135
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035104008&partnerID=40&md5=f61f39abf0250b3193f2e8c8b99b4791,,136
10.1016/S0006-3207(00)00193-2,,137
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000128065&doi=10.1017%2fS1367943001001263&partnerID=40&md5=1894c18d594a65eee1bc912abab2dd46,,138
,,139
,,140
10.3354/meps224267,,141
10.1648/0273-8570-73.3.276,,142
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036091949&partnerID=40&md5=2bc2540aef26690b89fbbdb585c672bb,,143
,,144
10.2307/3802881,,145
10.1648/0273-8570-73.2.206,,146
10.1650/0010-5422(2002)104[0319:TFIBCI]2.0.CO;2,,147
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036433416&doi=10.1139%2fz02-087&partnerID=40&md5=8ba257712ea1402d65328228d82c23bc,,148
10.1650/0010-5422(2002)104[0780:PSOPCE]2.0.CO;2,,149
10.2307/3803168,,150
10.2307/3802937,,151
,,152
,,153
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036823663&doi=10.2307%2f4090234&partnerID=40&md5=b31524df2333e1e6251d9c8a11c78551,,154
,,155
,,156
,,157
https://www.scopus.com/inward/record.uri?eid=2-s2.0-3242706747&partnerID=40&md5=794561cb0a1b5f92beb83ae2340fed3f,,158
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036817825&partnerID=40&md5=f8ba87bd7e25bc83557942ecc185ac78,,159
,,160
,,161
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036935682&doi=10.1034%2fj.1600-0587.2002.250610.x&partnerID=40&md5=38b6c59bfd4a8e458e6fa3b9edcb1dc9,,162
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036935620&partnerID=40&md5=df39cd29d5a9aa52a526956a891cacb3,,163
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036941913&partnerID=40&md5=bfb62591ca0bc15f4151d70b7ada2859,,164
10.1648/0273-8570-74.2.111,,165
10.1648/0273-8570-74.3.250,,166
10.1650/0010-5422(2003)105[0198:SOCHPR]2.0.CO;2,,167
10.1650/7174,,168
10.1650/7331,,169
10.2307/3803070,,170
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037225012&doi=10.2307%2f4090145&partnerID=40&md5=cb5a453a95862ef819c3eb08d0c5e347,,171
10.1648/0273-8570-74.1.1,,172
10.2307/3802711,,173
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038529731&doi=10.1017%2fS0959270903003046&partnerID=40&md5=dd41bcd21e0b01eed6c34f0c63462ed3,,174
10.1890/0012-9658(2003)084[0709:PRCAGS]2.0.CO;2,,175
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038375064&doi=10.1006%2fanbe.2003.2103&partnerID=40&md5=58724e2b7093b389b281652ed7691fb6,,176
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038349762&doi=10.1139%2fz03-063&partnerID=40&md5=8b3125afaeeb8f40fb24497656e12452,,177
10.1016/S0006-3207(02)00337-3,,178
10.1007/s00267-002-2920-3,,179
,,180
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141724870&doi=10.1894%2f0038-4909%282003%29048%3c0365%3aBGAAMO%3e2.0.CO%3b2&partnerID=40&md5=c743dbe3b4853951b2c8fc5bb91210a6,,181
10.1002/zoo.10101,,182
,,183
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347900769&doi=10.1111%2fj.0908-8857.2003.03107.x&partnerID=40&md5=dbb2b6973791d57dd5b54419cf42ce8d,,184
10.1650/7630,,185
10.2193/0091-7648(2004)32[194:RSAWRN]2.0.CO;2,,186
10.1650/7461,,187
10.1675/1524-4695(2004)027[0009:AAADBO]2.0.CO;2,,188
10.1675/1524-4695(2004)027[0147:DCMIRT]2.0.CO;2,,189
https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142672875&doi=10.1674%2f0003-0031%282004%29152%5b0165%3aAUOSCP%5d2.0.CO%3b2&partnerID=40&md5=6b4f4af279ca9582388ceda4b4cff33e,,190
10.1675/1524-4695(2004)027[0183:HUAHRO]2.0.CO;2,,191
https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942534718&partnerID=40&md5=9304f59d0931e541ccd8c0dcff48fe2e,,192
10.1650/7455,,193
10.1650/7508,,194
https://www.scopus.com/inward/record.uri?eid=2-s2.0-7444232655&doi=10.1007%2fs00267-004-8920-8&partnerID=40&md5=1b1b736eab52c17a58b478df2c4cfb3c,,195
,,196
,,197
10.2193/0022-541X(2004)068[0351:MHDITA]2.0.CO;2,,198
https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942735513&doi=10.1894%2f0038-4909%282004%29049%3c0279%3aMAUFIR%3e2.0.CO%3b2&partnerID=40&md5=a7519088b50712a22059b7e1ebf0be8e,,199
10.1111/j.1523-1739.2004.00149.x,,200
10.2193/0022-541X(2004)068[0694:HPOUAR]2.0.CO;2,,201
10.2193/0091-7648(2004)032[0627:ACOEOR]2.0.CO;2,,202
10.2193/0022-541X(2004)068[1032:SRAROP]2.0.CO;2,,203
https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645687061&partnerID=40&md5=00d5640cf75759e7e546a9c761f437c3,,204
10.1648/0273-8570-76.1.94,,205
10.1642/0004-8038(2005)122[0773:ASEFTA]2.0.CO;2,,206
10.1648/0273-8570-76.3.274,,207
10.22621/cfn.v119i4.185,,208
10.1007/s00442-004-1707-z,,209
10.1648/0273-8570-76.4.357,,210
10.1642/0004-8038(2005)122[1149:POTAWS]2.0.CO;2,,211
10.1650/7672,,212
https://www.scopus.com/inward/record.uri?eid=2-s2.0-25144444041&doi=10.1676%2f04-093.1&partnerID=40&md5=99a887bd982a1ebe7c6c22d859f6926c,,213
10.2193/0091-7648(2005)33[606:EOCPIF]2.0.CO;2,,214
10.1650/7611,,215
10.1648/0273-8570-76.3.279,,216
10.1650/7606,,217
10.22621/cfn.v119i3.151,,218
10.1648/0273-8570-76.2.109,,219
10.1650/0010-5422(2005)107[0481:LMABDO]2.0.CO;2,,220
10.2980/i1195-6860-12-2-216.1,,221
https://www.scopus.com/inward/record.uri?eid=2-s2.0-29244432484&doi=10.1676%2f04-114.1&partnerID=40&md5=7ffffd7da054ecbdf6da449e662c4c08,,222
https://www.scopus.com/inward/record.uri?eid=2-s2.0-17844394460&doi=10.1676%2f04-017&partnerID=40&md5=bcab9eb153a80434191ef84f39f3b7c0,,223
10.1642/0004-8038(2005)122[1210:PGOTGH]2.0.CO;2,,224
10.1111/j.1095-8312.2005.00427.x,,225
10.1111/j.1365-2664.2005.00999.x,,226
"Didiuk, A.B., Canadian Wildlife Service, 115 Perimeter Road, Saskatoon, Sask. S7N 0X4, Canada; Ferguson, R.S., Canadian Wildlife Service, 5204-50th Avenue, Yellowknife, North. Territ. X1A 1E2, Canada, MATRIX Resource Services, Box 1133, Golden, BC V0A 1H0, Canada",,227
10.2193/0022-541X(2005)069[0671:TROFPS]2.0.CO;2,,228
10.2193/0022-541X(2005)069[0601:FBOBAT]2.0.CO;2,,229
10.1007/s00442-005-0031-6,,230
10.2193/0091-7648(2005)33[1033:ESRIIT]2.0.CO;2,,231
10.2193/0091-7648(2005)33[1047:PBIBPS]2.0.CO;2,,232
10.2193/0091-7648(2005)33[1092:PEOROM]2.0.CO;2,,233
,,234
10.1016/j.biocon.2005.06.021,,235
https://www.scopus.com/inward/record.uri?eid=2-s2.0-33144480281&doi=10.1139%2fz05-154&partnerID=40&md5=d40b31f9b9fcec11e8c9c949005a40b6,,236
10.1890/05-0637,,237
10.1642/0004-8038(2006)123[877:PDPOMG]2.0.CO;2,,238
10.1111/j.1557-9263.2006.00030.x,,239
,,240
10.1650/0010-5422(2006)108[0097:EONHOP]2.0.CO;2,,241
10.1675/1524-4695(2006)29[115:EOBROF]2.0.CO;2,,242
10.3356/0892-1016(2006)40[1:TAFAOG]2.0.CO;2,,243
10.1007/s00442-005-0264-4,,244
https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646257565&doi=10.1111%2fj.2006.0908-8857.03616.x&partnerID=40&md5=58ee81c87a6f79e0f51ea0d3d3bdee3b,,245
10.2193/0091-7648(2006)34[116:EOROPF]2.0.CO;2,,246
10.2193/0091-7648(2006)34[93:EOSTIO]2.0.CO;2,,247
10.2193/0022-541X(2006)70[812:EOAIRW]2.0.CO;2,,248
10.3356/0892-1016(2006)40[151:LOBEFA]2.0.CO;2,,249
10.1675/1524-4695(2006)29[148:EFWMAB]2.0.CO;2,,250
10.2193/0022-541X(2006)70[717:SPAMOM]2.0.CO;2,,251
10.1675/1524-4695(2006)29[127:SMONPF]2.0.CO;2,,252
https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745819643&doi=10.1676%2f05-106.1&partnerID=40&md5=3a1f95c4f3dfa8fd0f5968dfe9e4063e,,253
10.1016/j.biocon.2005.12.026,,254
https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746049413&partnerID=40&md5=f5f7d6a4c02294864ee458db0aa032ce,,255
https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746093887&partnerID=40&md5=5237d8d949dc861dbd8e0d23d8782f98,,256
https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746064478&partnerID=40&md5=34b84b168c474ef974ce62eb5c37382c,,257
10.3398/1527-0904(2006)66[298:SAROTE]2.0.CO;2,,258
10.1111/j.1469-7998.2006.00158.x,,259
10.1098/rsbl.2006.0487,,260
10.2193/0091-7648(2006)34[884:ASTBTI]2.0.CO;2,,261
10.2193/0091-7648(2006)34[890:ASTBTI]2.0.CO;2,,262
10.2980/i1195-6860-13-3-293.1,,263
10.2193/0091-7648(2006)34[1064:RSEOLP]2.0.CO;2,,264
10.2193/0022-541X(2006)70[1308:SMAWDO]2.0.CO;2,,265
,,266
10.2193/0022-541X(2006)70[1530:OITSE]2.0.CO;2,,267
https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248994586&doi=10.1676%2f05-079.1&partnerID=40&md5=e8c176386b59734e218bea61c3e40b37,,268
10.3356/0892-1016(2006)40[270:EAGOAI]2.0.CO;2,,269
10.1111/j.1557-9263.2007.00109.x,,270
10.1111/j.1557-9263.2007.00103.x,,271
10.1642/0004-8038(2007)124[381:TPADIC]2.0.CO;2,,272
10.2193/2005-493,,273
https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347241269&doi=10.1139%2fZ06-202&partnerID=40&md5=c9615e17659223b816b5570013d8da03,,274
10.1675/1524-4695(2007)030[0052:FEFSFT]2.0.CO;2,,275
10.1111/j.1523-1739.2007.00655.x,,276
10.2193/2005-554,,277
10.2193/2006-353,,278
10.2193/2005-778,,279
10.2193/2005-696,,280
10.1650/0010-5422(2007)109[256:EOOTSO]2.0.CO;2,,281
10.2193/2005-775,,282
10.1890/06-1213,,283
10.2193/2006-154,,284
10.1675/1524-4695(2007)30[189:DFPOAD]2.0.CO;2,,285
10.3356/0892-1016(2007)41[106:AMOBET]2.0.CO;2,,286
10.2193/2005-640,,287
,,288
10.1111/j.1365-2664.2007.01319.x,,289
10.1675/1524-4695(2007)030[0384:SHSONG]2.0.CO;2,,290
10.1007/s00265-007-0440-0,,291
https://www.scopus.com/inward/record.uri?eid=2-s2.0-42049118251&doi=10.1675%2f1524-4695%282007%29030%5b0105%3aSITMBA%5d2.0.CO%3b2&partnerID=40&md5=cf969141ac8f878f572b2fcf99232138,,292
10.1111/j.1557-9263.2008.00176.x,,293
https://www.scopus.com/inward/record.uri?eid=2-s2.0-67749101378&doi=10.1017%2fS0959270908000361&partnerID=40&md5=3a3d4e53cd71f3398e65a6cd1a505651,,294
10.1111/j.1557-9263.2008.00191.x,,295
10.1111/j.1095-8312.2007.00914.x,,296
10.1111/j.1557-9263.2008.00151.x,,297
10.1111/j.1557-9263.2008.00180.x,,298
10.1525/auk.2008.07154,,299
10.1007/s00267-007-9031-0,,300
10.1111/j.1365-2656.2008.01342.x,,301
,,302
10.1111/j.1469-1795.2008.00166.x,,303
10.1897/07-230.1,,304
10.1016/j.ecolmodel.2007.10.003,,305
https://www.scopus.com/inward/record.uri?eid=2-s2.0-64549122057&doi=10.1111%2fj.2008.0908-8857.04227.x.&partnerID=40&md5=248c62edacdb43982b2c4b0cb9c395bf,,306
10.1111/j.1365-2656.2008.01378.x,,307
10.2193/2007-415,,308
10.2193/2007-145,,309
,,310
https://www.scopus.com/inward/record.uri?eid=2-s2.0-52749084857&doi=10.1676%2f07-084.1&partnerID=40&md5=c2e1250c2e003da35328e2d76b8127b8,,311
10.1675/1524-4695-31.3.365,,312
https://www.scopus.com/inward/record.uri?eid=2-s2.0-52749093838&doi=10.1676%2f06-157.1&partnerID=40&md5=c33ea9f4dce078186fd6bd8124996221,,313
10.1098/rsbl.2008.0302,,314
10.2193/2008-135,,315
10.1093/beheco/arn073,,316
10.1525/cond.2008.8512,,317
10.1525/cond.2008.110.1.110,,318
10.1525/cond.2008.8602,,319
10.1525/cond.2008.8502,,320
10.1016/j.biocon.2008.09.014,,321
10.1890/08-0315.1,,322
10.3354/esr00063,,323
10.3354/meps07744,,324
10.2193/2007-590,,325
10.1111/j.1557-9263.2009.00249.x,,326
10.1111/j.1557-9263.2009.00210.x,,327
10.1111/j.1557-9263.2009.00235.x,,328
10.2193/2007-589,,329
10.7589/0090-3558-45.2.302,,330
10.1890/07-1072.1,,331
10.1525/auk.2009.08120,,332
https://www.scopus.com/inward/record.uri?eid=2-s2.0-62549149949&doi=10.1676%2f08-025.1&partnerID=40&md5=ae0dc89687cc1965271a522e8629e57d,,333
10.1675/063.032.0116,,334
10.2981/07-083,,335
https://www.scopus.com/inward/record.uri?eid=2-s2.0-65349171432&doi=10.1674%2f0003-0031-161.2.313&partnerID=40&md5=f99648efe448b50c35541e46fef90a7f,,336
10.1007/s00300-009-0618-1,,337
10.1098/rsbl.2008.0691,,338
10.1007/s00300-008-0580-3,,339
https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649948845&doi=10.1111%2fj.1600-0587.2008.05512.x&partnerID=40&md5=36f39e112f7e277e6f32f7896b396ca0,,340
10.3356/JRR-08-43.1,,341
10.1675/063.032.0204,,342
10.3356/JRR-08-94.1,,343
https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650067598&doi=10.1071%2fWR09015&partnerID=40&md5=e0d08f9ec9dfa52c1ffd456f3446c60d,,344
10.1525/cond.2009.080095,,345
10.1525/cond.2009.080054,,346
10.2193/2008-042,,347
https://www.scopus.com/inward/record.uri?eid=2-s2.0-77749243357&doi=10.1676%2f07-164.1&partnerID=40&md5=a3d90b81bed46ce926fe5ae063f3ad37,,348
10.2193/2008-151,,349
10.1525/cond.2009.090062,,350
https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350097888&doi=10.1071%2fWR07185&partnerID=40&md5=764392017bfc23e4cf7203852a96c6fd,,351
,,352
https://www.scopus.com/inward/record.uri?eid=2-s2.0-72049116052&doi=10.1111%2fj.1600-0587.2009.05680.x&partnerID=40&md5=4be1ece8d4678ecaf14b22da2bdf7757,,353
10.2980/16-1-3198,,354
https://www.scopus.com/inward/record.uri?eid=2-s2.0-72649098101&doi=10.1676%2f09-040.1&partnerID=40&md5=3e7ed1b63fe7f0c91a80c1b2d3f8185f,,355
